datetime,DATE,MONTH,YEAR,T2M,T2M_MIN,T2M_MAX,RH2M,WS2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
1/1/2018,1,1,2018,17.92,9.96,27.95,24.23,2.43,0,16.95
1/2/2018,2,1,2018,18.24,9.34,28.73,28.32,2.19,0,15.63
1/3/2018,3,1,2018,19.31,11.28,29.7,28.21,1.81,0,15.35
1/4/2018,4,1,2018,19.2,12.75,28.96,33.37,1.66,0,15.68
1/5/2018,5,1,2018,19.91,13.21,28.7,62.9,1.45,0,16.13
1/6/2018,6,1,2018,19.76,13.33,27.89,53.62,1.73,0,16.6
1/7/2018,7,1,2018,18.58,11.54,27.25,30.63,2.04,0,16.73
1/8/2018,8,1,2018,18.33,10.35,27.74,29.67,1.98,0,15.77
1/9/2018,9,1,2018,19.97,12.02,29.59,32.64,2.06,0,13.93
1/10/2018,10,1,2018,21.98,14.43,31.25,37.76,2.5,0,12.58
1/11/2018,11,1,2018,22.92,14.86,31.45,35.82,1.86,0,12.17
1/12/2018,12,1,2018,24.2,16.92,31.9,30.99,2.12,0,10.02
1/13/2018,13,1,2018,25.23,19.32,32.61,34.78,2.07,0,12.5
1/14/2018,14,1,2018,25.7,19.25,33.92,38.2,1.8,0,14.44
1/15/2018,15,1,2018,25.22,18.27,34.03,31.11,2.06,0,16.6
1/16/2018,16,1,2018,24.83,17.74,33.59,33.07,2.07,0,16.18
1/17/2018,17,1,2018,23.05,17.14,31.11,60.97,2.3,0,17.26
1/18/2018,18,1,2018,22.24,14.69,31.63,48.91,1.55,0,18.05
1/19/2018,19,1,2018,21.66,14.74,30.52,29.87,1.71,0,18.42
1/20/2018,20,1,2018,20.71,12.2,30.85,25.62,2.12,0,17.98
1/21/2018,21,1,2018,20.23,12.58,30.3,25.15,1.82,0,17.66
1/22/2018,22,1,2018,19.88,12.13,28.93,62.35,2.52,0,16.75
1/23/2018,23,1,2018,20.23,14.12,28.15,57.51,2.29,0,17.84
1/24/2018,24,1,2018,19.93,11.75,29.31,32.97,1.67,0,18.16
1/25/2018,25,1,2018,19.6,10.99,28.83,27.42,1.77,0,18.34
1/26/2018,26,1,2018,19.85,11.42,29.6,33.86,1.54,0,18.49
1/27/2018,27,1,2018,20.19,11.45,29.97,25.99,1.69,0,18.5
1/28/2018,28,1,2018,20.48,11.59,30.05,29.95,1.8,0,18.04
1/29/2018,29,1,2018,21.84,13.14,31.88,20.76,1.56,0,17.72
1/30/2018,30,1,2018,22.83,13.63,33.73,21.55,1.86,0,18.35
1/31/2018,31,1,2018,24.09,14.59,34.41,22.68,1.21,0,18.54
2/1/2018,1,2,2018,22.8,14.62,32.56,47.59,1.95,0,17.77
2/2/2018,2,2,2018,22.45,14.61,32.07,46.37,2.22,0,17.85
2/3/2018,3,2,2018,22.55,14.69,32.08,45.18,1.86,0,18.21
2/4/2018,4,2,2018,22.75,14.4,32.53,22.76,1.91,0,18.48
2/5/2018,5,2,2018,23.95,15.83,33.22,22.22,2,0,13.46
2/6/2018,6,2,2018,23.81,17.52,31.01,23.1,1.68,0,11.14
2/7/2018,7,2,2018,24.2,18.16,32.55,28.2,1.72,0,18.83
2/8/2018,8,2,2018,21.35,13.52,31.02,25.29,2.14,0,19.82
2/9/2018,9,2,2018,21.41,12.69,31.52,51.36,1.54,0,19.56
2/10/2018,10,2,2018,21.43,15.84,29.58,61.3,1.89,0,18.28
2/11/2018,11,2,2018,21.48,15.03,29.49,64.42,2.71,0,17.45
2/12/2018,12,2,2018,21.16,14.44,29.51,57.3,2.01,0,19.45
2/13/2018,13,2,2018,21.75,14.08,30.55,42.3,2.66,0,19.97
2/14/2018,14,2,2018,22.43,14.11,31.67,27.3,3.32,0,18.75
2/15/2018,15,2,2018,23.48,14.35,33.88,24.35,2.6,0,20.34
2/16/2018,16,2,2018,24.63,15.65,34.77,24.42,1.88,0,20.77
2/17/2018,17,2,2018,25.21,17.48,34.83,25.96,1.77,0,20.99
2/18/2018,18,2,2018,25.29,16.84,34.66,47.28,1.78,0,19.57
2/19/2018,19,2,2018,26.09,17.89,35.58,45.81,1.49,0,18.75
2/20/2018,20,2,2018,26.12,18.18,35.9,42.58,1.68,0,19.68
2/21/2018,21,2,2018,25.72,17.35,35.27,48.75,1.97,0,19.95
2/22/2018,22,2,2018,25.86,17.39,35.57,49.67,2.09,0,19.75
2/23/2018,23,2,2018,25.36,18.1,34.97,51.87,2.35,0,19.7
2/24/2018,24,2,2018,25.48,16.61,35.39,49.89,1.96,0,19.13
2/25/2018,25,2,2018,27.12,18.85,36.31,30.62,2.49,0,19.67
2/26/2018,26,2,2018,27.44,19.09,36.72,26.22,2.52,0,16.48
2/27/2018,27,2,2018,28.01,19.54,37.24,25.16,2.31,0,19.57
2/28/2018,28,2,2018,28.12,20.59,35.72,27.04,1.74,0,16.46
3/1/2018,1,3,2018,28.77,21.64,37.6,25.65,2.17,0,18.3
3/2/2018,2,3,2018,27.37,19.27,36.76,33.42,2.43,0,20.93
3/3/2018,3,3,2018,26.96,18.86,36.16,39.06,2.98,0,21.72
3/4/2018,4,3,2018,25.85,19.07,34.05,55.37,3.01,0,21.28
3/5/2018,5,3,2018,25.97,17.66,35.04,47.71,1.6,0,23
3/6/2018,6,3,2018,27.33,18.59,36.66,24.07,2.4,0,23.27
3/7/2018,7,3,2018,27.55,18.27,37.85,18.45,2.03,0,20.98
3/8/2018,8,3,2018,27.52,19.24,38.13,39.7,2.16,0,21.16
3/9/2018,9,3,2018,26.31,18.09,36.31,51.75,2.6,0,22.78
3/10/2018,10,3,2018,25.99,17.26,36.66,50.49,2.51,0,23.24
3/11/2018,11,3,2018,26.43,17.83,36.88,52.2,2.62,0,24.14
3/12/2018,12,3,2018,27.19,17.77,38.3,49.27,2.28,0,24.54
3/13/2018,13,3,2018,25.48,16.93,35.69,53.42,3.2,0,24.1
3/14/2018,14,3,2018,25.57,17.82,34.92,57.65,3.75,0,24.34
3/15/2018,15,3,2018,26.86,19.37,35.83,56.19,3.48,0,23.98
3/16/2018,16,3,2018,27.33,19.31,36.52,50.6,2.35,0,24.48
3/17/2018,17,3,2018,27.81,18.83,37.43,48.81,1.73,0,23.84
3/18/2018,18,3,2018,27.67,20.84,36.26,48.02,2.65,0,17.98
3/19/2018,19,3,2018,27.22,20.2,35.42,47.8,3.24,0,22.01
3/20/2018,20,3,2018,27.01,19.73,35.99,52.68,3.27,0,24.79
3/21/2018,21,3,2018,26.22,19.7,34.63,57.7,3.83,0,24.37
3/22/2018,22,3,2018,26.32,18.91,34.83,51.51,2.61,0,24.55
3/23/2018,23,3,2018,27.24,19.12,35.92,47.83,2.12,0,24.46
3/24/2018,24,3,2018,28.6,20.71,37.3,26.81,2.51,0,25.28
3/25/2018,25,3,2018,31.01,22.5,40.38,16.55,2.93,0,25.53
3/26/2018,26,3,2018,30.88,22.32,40.29,17.65,2.48,0,25.3
3/27/2018,27,3,2018,29.88,20.8,40.29,34.44,3.16,0,25.3
3/28/2018,28,3,2018,29.85,20.64,40.52,46.4,2.62,0,25.82
3/29/2018,29,3,2018,30.5,20.59,41.64,46.87,2.24,0,24.73
3/30/2018,30,3,2018,30.57,21.48,41.21,41.36,3.2,0,25.1
3/31/2018,31,3,2018,29.68,20.79,40.3,42.89,3.83,0,25.73
4/1/2018,1,4,2018,28.83,20.08,39.19,48.98,3.33,0,26.12
4/2/2018,2,4,2018,28.74,19.39,38.97,45.19,2.82,0,24.21
4/3/2018,3,4,2018,29.88,20.6,40.6,49.07,2.89,0,25.42
4/4/2018,4,4,2018,30.07,21.81,40.39,49.9,3.15,0,25
4/5/2018,5,4,2018,28.28,23.29,34.9,54.29,3.28,0,22.49
4/6/2018,6,4,2018,29.52,22.09,39.32,54.82,3.79,0,25.01
4/7/2018,7,4,2018,29.89,21.72,39.72,53.97,3.56,0,25.39
4/8/2018,8,4,2018,31.03,22.36,40.55,50.08,2.69,0,23.93
4/9/2018,9,4,2018,31.4,23.36,39.97,48.52,2.21,0,24.47
4/10/2018,10,4,2018,31.48,23.47,39.97,46.95,2.74,0,24.9
4/11/2018,11,4,2018,31.56,23.65,40.48,49.64,3.12,0.08,23.3
4/12/2018,12,4,2018,31.25,23.47,40.28,51.15,3.14,0.17,24.12
4/13/2018,13,4,2018,31.74,24.69,41.13,50.66,3.48,0.02,25.02
4/14/2018,14,4,2018,31.7,23.39,40.92,50.51,3.42,0,25
4/15/2018,15,4,2018,31.88,24.55,40.3,46.94,3.31,0,23.32
4/16/2018,16,4,2018,32.2,24.38,40.51,47.2,3.19,0,25.32
4/17/2018,17,4,2018,32.23,24,40.98,39.26,2.93,0,25.76
4/18/2018,18,4,2018,32.98,24.49,42.32,36.32,3.16,0,26.04
4/19/2018,19,4,2018,32.32,24.12,41.72,45.27,4.13,0,26.5
4/20/2018,20,4,2018,30.9,24.16,39.38,54.81,4.81,0,26.1
4/21/2018,21,4,2018,30.05,23.02,38.61,50.06,3.42,0,26.77
4/22/2018,22,4,2018,30.68,21.86,40.18,40.07,2.33,0,27.21
4/23/2018,23,4,2018,31.28,22.09,41.24,19.97,2.27,0,28.6
4/24/2018,24,4,2018,30.91,21.3,41.18,40.02,3.15,0,27.9
4/25/2018,25,4,2018,30.26,21.88,40.13,49.69,4.01,0,27.41
4/26/2018,26,4,2018,31.14,22.88,41.27,52.73,3.8,0,27.12
4/27/2018,27,4,2018,31.84,23.25,42.36,54.03,3.88,0,26.4
4/28/2018,28,4,2018,32.71,24.34,43.56,52.32,4.07,0,26.98
4/29/2018,29,4,2018,31.64,24.45,41.12,56.7,5.13,0,26.66
4/30/2018,30,4,2018,31.74,25.1,41.54,58.73,5.99,0,26.17
5/1/2018,1,5,2018,32.01,24.65,41.87,55.82,5.32,0,27.24
5/2/2018,2,5,2018,32.28,24.33,42.59,53.98,4.97,0,28.24
5/3/2018,3,5,2018,32.41,24.68,41.87,53.69,5.22,0,27.65
5/4/2018,4,5,2018,32.66,25.56,41.93,54.64,4.27,0,25.49
5/5/2018,5,5,2018,32.7,25.41,41.74,52.28,3.99,0,26.2
5/6/2018,6,5,2018,32.46,24.98,41.63,49.35,4.29,0,27.61
5/7/2018,7,5,2018,31.28,24.67,39.54,53.87,5.02,0,28.12
5/8/2018,8,5,2018,31.2,25.36,38.99,57.05,5.09,0,26.82
5/9/2018,9,5,2018,31.92,24.66,40.96,54.15,4.03,0,26.64
5/10/2018,10,5,2018,32.65,24.25,42.02,52.21,3.6,0,27.16
5/11/2018,11,5,2018,32.76,25.23,41.9,50.77,4.16,0,27.51
5/12/2018,12,5,2018,31.85,24.21,40.26,53.07,4.73,0,27.69
5/13/2018,13,5,2018,32.31,25.77,40.2,55.94,4.81,0,27.87
5/14/2018,14,5,2018,32.35,25.46,40.68,53.43,4.41,0,24.26
