State,District,Date,Month,Year,Avg_smlvl_at15cm,Agency_name,,Datetime
Gujarat,Rajkot,2,8,2018,20.952706,NRSC VIC MODEL,,8/2/2018
Gujarat,Rajkot,4,8,2018,19.0518957,NRSC VIC MODEL,,8/4/2018
Gujarat,Rajkot,12,8,2018,16.1904579,NRSC VIC MODEL,,8/12/2018
Gujarat,Rajkot,18,8,2018,24.4070702,NRSC VIC MODEL,,8/18/2018
Gujarat,Rajkot,21,8,2018,28.3378543,NRSC VIC MODEL,,8/21/2018
Gujarat,Rajkot,26,8,2018,27.2941637,NRSC VIC MODEL,,8/26/2018
Gujarat,Rajkot,10,8,2018,17.3497784,NRSC VIC MODEL,,8/10/2018
Gujarat,Rajkot,5,10,2018,6.3857751,NRSC VIC MODEL,,10/5/2018
Gujarat,Rajkot,7,10,2018,5.993905,NRSC VIC MODEL,,10/7/2018
Gujarat,Rajkot,10,10,2018,5.5218816,NRSC VIC MODEL,,10/10/2018
Gujarat,Rajkot,11,10,2018,5.3920465,NRSC VIC MODEL,,10/11/2018
Gujarat,Rajkot,13,10,2018,5.1588152,NRSC VIC MODEL,,10/13/2018
Gujarat,Rajkot,16,10,2018,4.8760092,NRSC VIC MODEL,,10/16/2018
Gujarat,Rajkot,17,10,2018,4.7922418,NRSC VIC MODEL,,10/17/2018
Gujarat,Rajkot,19,10,2018,4.6514444,NRSC VIC MODEL,,10/19/2018
Gujarat,Rajkot,20,10,2018,4.5898227,NRSC VIC MODEL,,10/20/2018
Gujarat,Rajkot,27,10,2018,4.2653049,NRSC VIC MODEL,,10/27/2018
Gujarat,Rajkot,31,10,2018,4.1459083,NRSC VIC MODEL,,10/31/2018
Gujarat,Rajkot,3,9,2018,21.8473593,NRSC VIC MODEL,,9/3/2018
Gujarat,Rajkot,6,9,2018,19.0112419,NRSC VIC MODEL,,9/6/2018
Gujarat,Rajkot,10,9,2018,16.8343877,NRSC VIC MODEL,,9/10/2018
Gujarat,Rajkot,23,9,2018,10.3610631,NRSC VIC MODEL,,9/23/2018
Gujarat,Rajkot,25,9,2018,9.4346476,NRSC VIC MODEL,,9/25/2018
Gujarat,Rajkot,3,11,2018,4.0811506,NRSC VIC MODEL,,11/3/2018
Gujarat,Rajkot,13,11,2018,3.9551195,NRSC VIC MODEL,,11/13/2018
Gujarat,Rajkot,19,11,2018,3.9050524,NRSC VIC MODEL,,11/19/2018
Gujarat,Rajkot,7,12,2018,3.0915432,NRSC VIC MODEL,,12/7/2018
Gujarat,Rajkot,16,12,2018,2.6977755,NRSC VIC MODEL,,12/16/2018
Gujarat,Rajkot,19,12,2018,2.4612995,NRSC VIC MODEL,,12/19/2018
Gujarat,Rajkot,21,12,2018,2.314759,NRSC VIC MODEL,,12/21/2018
Gujarat,Rajkot,24,7,2018,28.1579461,NRSC VIC MODEL,,7/24/2018
Gujarat,Rajkot,31,7,2018,22.7615648,NRSC VIC MODEL,,7/31/2018
Gujarat,Rajkot,24,8,2018,26.7463772,NRSC VIC MODEL,,8/24/2018
Gujarat,Rajkot,25,8,2018,26.5111622,NRSC VIC MODEL,,8/25/2018
Gujarat,Rajkot,2,10,2018,7.0828976,NRSC VIC MODEL,,10/2/2018
Gujarat,Rajkot,28,10,2018,4.2292605,NRSC VIC MODEL,,10/28/2018
Gujarat,Rajkot,30,10,2018,4.1725918,NRSC VIC MODEL,,10/30/2018
Gujarat,Rajkot,24,10,2018,4.3817648,NRSC VIC MODEL,,10/24/2018
Gujarat,Rajkot,1,9,2018,23.1866631,NRSC VIC MODEL,,9/1/2018
Gujarat,Rajkot,2,9,2018,23.061252,NRSC VIC MODEL,,9/2/2018
Gujarat,Rajkot,7,9,2018,18.1716646,NRSC VIC MODEL,,9/7/2018
Gujarat,Rajkot,12,9,2018,15.6968888,NRSC VIC MODEL,,9/12/2018
Gujarat,Rajkot,16,9,2018,12.6714288,NRSC VIC MODEL,,9/16/2018
Gujarat,Rajkot,18,9,2018,12.7314028,NRSC VIC MODEL,,9/18/2018
Gujarat,Rajkot,20,9,2018,11.4513835,NRSC VIC MODEL,,9/20/2018
Gujarat,Rajkot,22,9,2018,10.5991519,NRSC VIC MODEL,,9/22/2018
Gujarat,Rajkot,26,9,2018,9.0076301,NRSC VIC MODEL,,9/26/2018
Gujarat,Rajkot,27,9,2018,8.6114811,NRSC VIC MODEL,,9/27/2018
Gujarat,Rajkot,30,9,2018,7.5817203,NRSC VIC MODEL,,9/30/2018
Gujarat,Rajkot,6,11,2018,4.0341681,NRSC VIC MODEL,,11/6/2018
Gujarat,Rajkot,10,11,2018,3.9815479,NRSC VIC MODEL,,11/10/2018
Gujarat,Rajkot,11,11,2018,3.9738709,NRSC VIC MODEL,,11/11/2018
Gujarat,Rajkot,14,11,2018,3.9468964,NRSC VIC MODEL,,11/14/2018
Gujarat,Rajkot,29,11,2018,3.8615109,NRSC VIC MODEL,,11/29/2018
Gujarat,Rajkot,3,12,2018,3.4817457,NRSC VIC MODEL,,12/3/2018
Gujarat,Rajkot,5,12,2018,3.3028408,NRSC VIC MODEL,,12/5/2018
Gujarat,Rajkot,6,12,2018,3.1939541,NRSC VIC MODEL,,12/6/2018
Gujarat,Rajkot,9,12,2018,2.9014797,NRSC VIC MODEL,,12/9/2018
Gujarat,Rajkot,11,12,2018,2.7407127,NRSC VIC MODEL,,12/11/2018
Gujarat,Rajkot,14,12,2018,2.5153912,NRSC VIC MODEL,,12/14/2018
Gujarat,Rajkot,17,12,2018,2.61696,NRSC VIC MODEL,,12/17/2018
Gujarat,Rajkot,22,12,2018,2.2471378,NRSC VIC MODEL,,12/22/2018
Gujarat,Rajkot,25,12,2018,2.0632097,NRSC VIC MODEL,,12/25/2018
Gujarat,Rajkot,26,12,2018,2.0338067,NRSC VIC MODEL,,12/26/2018
Gujarat,Rajkot,27,12,2018,2.0079653,NRSC VIC MODEL,,12/27/2018
Gujarat,Rajkot,5,8,2018,18.1991301,NRSC VIC MODEL,,8/5/2018
Gujarat,Rajkot,8,8,2018,16.3297771,NRSC VIC MODEL,,8/8/2018
Gujarat,Rajkot,13,8,2018,15.4268044,NRSC VIC MODEL,,8/13/2018
Gujarat,Rajkot,15,8,2018,14.3352133,NRSC VIC MODEL,,8/15/2018
Gujarat,Rajkot,17,8,2018,24.3142814,NRSC VIC MODEL,,8/17/2018
Gujarat,Rajkot,23,8,2018,27.1494431,NRSC VIC MODEL,,8/23/2018
Gujarat,Rajkot,31,8,2018,23.0966237,NRSC VIC MODEL,,8/31/2018
Gujarat,Rajkot,26,7,2018,26.3457042,NRSC VIC MODEL,,7/26/2018
Gujarat,Rajkot,30,7,2018,23.1965756,NRSC VIC MODEL,,7/30/2018
Gujarat,Rajkot,11,9,2018,16.5025167,NRSC VIC MODEL,,9/11/2018
Gujarat,Rajkot,14,9,2018,14.0636711,NRSC VIC MODEL,,9/14/2018
Gujarat,Rajkot,17,9,2018,13.4683004,NRSC VIC MODEL,,9/17/2018
Gujarat,Rajkot,28,9,2018,8.2427366,NRSC VIC MODEL,,9/28/2018
Gujarat,Rajkot,18,10,2018,4.7202727,NRSC VIC MODEL,,10/18/2018
Gujarat,Rajkot,21,10,2018,4.5289665,NRSC VIC MODEL,,10/21/2018
Gujarat,Rajkot,29,10,2018,4.1997748,NRSC VIC MODEL,,10/29/2018
Gujarat,Rajkot,9,10,2018,5.6651802,NRSC VIC MODEL,,10/9/2018
Gujarat,Rajkot,1,12,2018,3.7286477,NRSC VIC MODEL,,12/1/2018
Gujarat,Rajkot,2,12,2018,3.6025322,NRSC VIC MODEL,,12/2/2018
Gujarat,Rajkot,4,12,2018,3.4099153,NRSC VIC MODEL,,12/4/2018
Gujarat,Rajkot,15,12,2018,2.4453539,NRSC VIC MODEL,,12/15/2018
Gujarat,Rajkot,31,12,2018,1.8765941,NRSC VIC MODEL,,12/31/2018
Gujarat,Rajkot,1,11,2018,4.1244323,NRSC VIC MODEL,,11/1/2018
Gujarat,Rajkot,2,11,2018,4.1050372,NRSC VIC MODEL,,11/2/2018
Gujarat,Rajkot,5,11,2018,4.047749,NRSC VIC MODEL,,11/5/2018
Gujarat,Rajkot,12,11,2018,3.9631105,NRSC VIC MODEL,,11/12/2018
Gujarat,Rajkot,20,11,2018,3.8999153,NRSC VIC MODEL,,11/20/2018
